,SMILES,DILI?
35,CC(=O)Oc1ccccc1C(=O)O,0
36,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,0
37,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0
38,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,1
39,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,1
40,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,1
41,CC(Cc1ccccc1)N(C)Cc1ccccc1,0
42,CC(C[N+](C)(C)C)OC(N)=O,0
43,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,0
44,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,1
45,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,1
46,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,0
47,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,0
48,CS(=O)(=O)OCCCCOS(C)(=O)=O,1
49,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,1
50,NC(=O)N1c2ccccc2C=Cc2ccccc21,1
51,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,0
52,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,0
53,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0
54,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,1
55,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,1
56,OC(O)C(Cl)(Cl)Cl,0
57,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0
58,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,1
59,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0
60,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1
61,O=c1[nH]c2cc(Cl)ccc2o1,1
62,Cc1cc(C2CCCCC2)n(O)c(=O)c1,0
63,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,0
64,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,1
65,Clc1cccc(Cl)c1NC1=NCCN1,1
66,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,1
67,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,1
68,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,1
69,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,1
70,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,1
71,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,0
72,CNCCCN1c2ccccc2CCc2ccccc21,0
73,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,1
74,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,0
75,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,1
76,OCC(S)CS,1
77,CN(C)CCOC(c1ccccc1)c1ccccc1,0
78,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,1
79,CCN(CC)C(=S)SSC(=S)N(CC)CC,1
80,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0
81,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,0
82,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0
83,CC[N+](C)(C)c1cccc(O)c1,0
84,CC(O)(P(=O)(O)O)P(=O)(O)O,0
85,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,1
86,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,1
87,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,1
88,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,1
89,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0
90,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0
91,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,1
92,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O,0
93,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,1
94,Nc1[nH]c(=O)ncc1F,1
95,O=c1[nH]cc(F)c(=O)[nH]1,1
96,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0
97,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1
98,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1
99,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,0
100,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,1
101,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,1
102,NCC1(CC(=O)O)CCCCC1,0
103,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,0
104,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,1
105,COc1ccccc1OCC(O)CO,0
106,NC(N)=NCCN1CCCCCCC1,0
107,CCCCCCc1ccc(O)cc1O,0
108,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,1
109,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0
110,NNCCc1ccccc1,0
111,CCN(CC)CC(=O)Nc1c(C)cccc1C,0
112,Nc1cc(-c2ccncc2)c[nH]c1=O,1
113,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,1
114,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0
115,CC(C)NNC(=O)c1ccncc1,1
116,Cc1cc(C(=O)NNCc2ccccc2)no1,1
117,CC(C)NCC(O)c1ccc(O)c(O)c1,0
118,CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,0
119,CNC1(c2ccccc2Cl)CCCCC1=O,0
120,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,1
121,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,1
122,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,1
123,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,1
124,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,1
125,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,0
126,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,0
127,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1
128,CNCCCC12CCC(c3ccccc31)c1ccccc12,0
129,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,1
130,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,0
131,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,1
132,Cc1cccc(Nc2ccccc2C(=O)O)c1C,1
133,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,0
134,CC12CC3CC(C)(C1)CC(N)(C3)C2,0
135,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,1
136,CC(C)NCC(O)c1cc(O)cc(O)c1,0
137,CN(C)C(=N)N=C(N)N,0
138,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,1
139,Cc1ncc([N+](=O)[O-])n1CCO,1
140,CC(C)(C(=O)c1cccnc1)c1cccnc1,0
141,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0
142,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,0
143,N=c1nc(N2CCCCC2)cc(N)n1O,0
144,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,0
145,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,1
146,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,1
147,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,1
148,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,0
149,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,1
150,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,1
151,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,1
152,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],1
153,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,1
154,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,1
155,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,1
156,CN1Cc2c(N)cccc2C(c2ccccc2)C1,1
157,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1
158,Cc1ccccc1C(OCCN(C)C)c1ccccc1,0
159,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,1
160,CCCOc1ccc2nc(NC(=O)OC)[nH]c2c1,1
161,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,0
162,NCCC(O)(P(=O)(O)O)P(=O)(O)O,0
163,CC(C)(CO)C(O)C(=O)NCCCO,0
164,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,1
165,C#CCN(C)Cc1ccccc1,0
166,NC1=NC(=O)C(c2ccccc2)O1,1
167,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,1
168,CCOc1ccc(NC(C)=O)cc1,1
169,Nc1ccc(N=Nc2ccccc2)c(N)n1,0
170,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,0
171,CC(C)(N)Cc1ccccc1,0
172,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,1
173,CC(=CCC1=C(C)C(=O)c2ccccc2C1=O)CCCC(C)CCCC(C)CCCC(C)C,0
174,CC(N=C(NC#N)Nc1ccncc1)C(C)(C)C,0
175,CC(C)NCC(O)COc1cccc2[nH]ccc12,0
176,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,0
177,COc1cc(NC(C)CCCN)c2ncccc2c1,0
178,CCC1(c2ccccc2)C(=O)NCNC1=O,0
179,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0
180,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1
181,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,0
182,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,0
183,CC(C)c1cccc(C(C)C)c1O,0
184,CC(C)NCC(O)COc1cccc2ccccc12,0
185,CNCCCC1c2ccccc2C=Cc2ccccc21,0
186,CN(C)C(=O)Oc1ccc[n+](C)c1,0
187,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,0
188,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,1
189,Nc1nc2ccc(OC(F)(F)F)cc2s1,1
190,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,1
191,NC(=O)c1ccccc1O,0
192,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,0
193,[Cl-].[Na+],0
194,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,1
195,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0
196,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,1
197,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,1
198,Nc1ccc(S(N)(=O)=O)cc1,1
199,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,1
200,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,0
201,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,1
202,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,1
203,Cn1nnc2c(C(N)=O)ncn2c1=O,0
204,CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,1
205,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0
206,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,0
207,Clc1ccccc1CN1CCc2sccc2C1,1
208,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,1
209,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,1
210,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,1
211,NCC1CCC(C(=O)O)CC1,0
212,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,1
213,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,0
214,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,1
215,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1
216,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,1
217,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,1
218,NS(=O)(=O)Cc1noc2ccccc12,1
219,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0
220,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,0
221,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,0
222,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0
223,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,0
224,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,0
225,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,1
226,CNCC(O)c1ccc(O)c(O)c1,0
227,CC(N)Cc1ccccc1,0
228,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,0
229,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,1
230,COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,1
231,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,1
232,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0
233,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,1
234,CCC1C(=O)OCC1Cc1cncn1C,0
235,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,0
236,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,0
237,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,1
238,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,0
239,NC(Cc1ccc(O)c(O)c1)C(=O)O,0
240,COc1ccc(OC)c(C(O)C(C)N)c1,0
241,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1
242,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,0
243,CSCCC(N)C(=O)O,0
244,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,0
245,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1,1
246,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,0
247,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,0
248,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,1
249,NC(N)=NCCCC(N)C(=O)O,0
250,NC(CO)(CO)CO,0
251,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0
252,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,0
253,c1ccc2c(c1)Nc1ccccc1S2,1
254,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,0
255,CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,0
256,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,1
257,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,0
258,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)oc2ccccc2c1=O,1
259,CNC(C)C(O)c1ccccc1,0
260,COC1C(OC(N)=O)C(O)C(Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(O)oc3c2C)OC1(C)C,1
261,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,1
262,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1,0
263,CC12CC(=CO)C(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,1
264,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O,1
265,CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C,0
266,CNC(C)Cc1ccccc1,0
267,C[N+](C)(C)CC(O)CC(=O)[O-],0
268,NC(=O)NS(=O)(=O)c1ccc(N)cc1,1
269,S=C=Nc1cccc2ccccc12,1
270,OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,0
271,CC(C)(N)CO.Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O,0
272,CC(=O)Nc1cccc(O)c1,0
273,CC1C(c2ccccc2)OCCN1C,0
274,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,1
275,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,0
276,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,0
277,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,0
278,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,0
279,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,1
280,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,0
281,CC(C)Cc1ccc(CC(=O)O)cc1,1
282,CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,0
283,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,1
284,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0
285,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,0
286,OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0
287,Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,1
288,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1
289,CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,0
290,COc1cc(O)c(C(=O)c2ccccc2)cc1S(=O)(=O)O,0
291,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO,0
292,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21,1
293,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,0
294,Nc1ccn(C2CCC(CO)O2)c(=O)n1,1
295,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0
296,COC(=O)Nc1nc2ccccc2[nH]1,1
297,[Cl-].[NH4+],0
298,C#CCN(C)C(C)Cc1ccccc1,0
299,CC(N)C(O)c1ccccc1,0
300,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,0
301,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1.[Br-].[Br-],0
302,[Li+],0
303,O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1,1
304,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,1
305,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,1
306,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,0
307,C=CCOc1ccc(CC(=O)O)cc1Cl,1
308,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,0
309,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,0
310,CC(=O)NC1C(O)OC(CO)C(OS(=O)(=O)[O-])C1OC1OC(C(=O)[O-])C(O)C(O)C1O,1
311,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,1
312,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,0
313,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,1
314,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,1
315,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,1
316,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,1
317,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,1
318,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,0
319,CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,0
320,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,0
321,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,1
322,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,0
323,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,0
324,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,1
325,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,1
326,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,0
327,O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O,1
328,OCC1OC(n2cnc3c2NC=NCC3O)CC1O,1
329,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,1
330,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(N)n3)C2SC1,1
331,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1
332,O=c1nc[nH]c2c1ncn2C1CCC(CO)O1,1
333,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0
334,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,1
335,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0
336,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,0
337,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2ccccc2CC1C(=O)O,1
